Probe,Total Int. 1ng,Total Int. 5ng,Total Int. 25ng,Total Int. 100ng
cells,270,1351,6757,27027
POSITIVE_25_dT,7.55E+07,5.73E+07,1.01E+08,8.87E+07
Poly-T-CY5,4.51E+08,3.97E+08,2.39E+08,3.41E+08
EukS_1209_25_dT,4102788.91290624,1.68E+07,2.62E+08,5.41E+08
Test15 (EukS_1209_25dT),3242670.65825,1.99E+07,3.92E+08,3.73E+08
EukS_328_25_dT,4564828.4446875,2.18E+07,4.40E+08,6.77E+08
DinoB_25_dT,7269595.08139062,3.56E+07,4.00E+08,6.06E+08
DinoE12_25_dT,2190095.65495312,9706271.19020312,2.48E+08,2.65E+08
HeterokontCOMP probe,1071861.42065624,4641065.99826562,5.71E+07,1.25E+08
AlexGD01_25_dT,1.07E+07,4.22E+07,5.70E+08,7.45E+08
AminuS01_25_dT,4009041.90381249,1.38E+07,1.83E+08,4.93E+08
HeteroS01_25_dT,3234315.99234375,1.99E+07,3.55E+08,3.51E+08
ATNA_D02_25_dT,519795.7004375,1891482.61671875,1.16E+07,4.16E+07
PrymS01_25_dT,220102.740640624,1430380.65320312,8504146.6854375,2.83E+07
PrymS02_25_dT,1571580.3975,7232931.74434375,8.14E+07,1.54E+08
AostS02 _25_dT,337259.503968749,1449804.515125,6515333.68353125,22481164.0439218
